stamp,label,torso_distance_norm,wrap_score,lift_score,feet_off_ground_score,limb_speed_score,limb_accel_score,co_motion_score,state
1779510066.7806344,normal_far,15.320371627807617,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510066.846415,normal_far,15.253127098083496,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510066.9135034,normal_far,15.137662887573242,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.046872,normal_far,15.27816104888916,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.1133742,normal_far,15.336164474487305,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.2465672,normal_far,15.787137985229492,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.3138256,normal_far,15.749761581420898,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.379768,normal_far,15.322497367858887,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.5129147,normal_far,15.330609321594238,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.5799482,normal_far,15.254603385925293,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.6466827,normal_far,14.83687686920166,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.7794678,normal_far,14.307963371276855,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.8471856,normal_far,14.14231014251709,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510067.9146144,normal_far,13.76578140258789,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.046298,normal_far,13.24718189239502,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.1146977,normal_far,13.08759880065918,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.2469258,normal_far,12.552809715270996,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.315117,normal_far,12.215697288513184,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.380533,normal_far,11.832513809204102,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.5152564,normal_far,11.028676986694336,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.5822964,normal_far,10.801058769226074,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.6471612,normal_far,10.439962387084961,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.7804458,normal_far,9.965697288513184,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510068.9821017,normal_far,9.141176223754883,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.04739,normal_far,8.956303596496582,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.1138432,normal_far,8.852561950683594,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.1804478,normal_far,8.728014945983887,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.3137398,normal_far,8.717618942260742,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.379876,normal_far,8.674382209777832,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.4468565,normal_far,8.696939468383789,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.580744,normal_far,8.803925514221191,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.646636,normal_far,8.834275245666504,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.7798467,normal_far,8.827030181884766,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.8471923,normal_far,8.787175178527832,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510069.913549,normal_far,8.78020191192627,0.0,0.0,0.0,0.0,0.0,0.0,observing
1779510070.0462382,normal_far,8.718501091003418,0.0,0.0,0.0,0.0,0.0,0.0,observing
