stamp,label,torso_distance_norm,wrap_score,lift_score,feet_off_ground_score,limb_speed_score,limb_accel_score,co_motion_score,state
1780303536.6439152,critical_high_suspicious,1.420440912246704,0.9372256994247437,0.0,0.09498774260282516,0.0,0.0,0.0,watch
1780303536.71061,critical_high_suspicious,1.8666608333587646,0.8152607679367065,0.0,0.01635807380080223,0.0,0.0,0.0,observing
1780303536.7765646,critical_high_suspicious,1.8873059749603271,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303536.9113595,critical_high_suspicious,1.0438652038574219,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303536.9780912,critical_high_suspicious,1.4050354957580566,1.0,0.0,0.0060620419681072235,0.08737862855195999,0.0,0.0,watch
1780303537.1117435,critical_high_suspicious,1.3138822317123413,0.8481996655464172,0.0,0.0,0.0246815774589777,0.0,0.0,watch
1780303537.1771576,critical_high_suspicious,1.4290305376052856,0.9808366298675537,0.0,0.0,0.0,0.0,0.0,watch
1780303537.247398,critical_high_suspicious,1.4627337455749512,0.7194068431854248,0.0,0.1436394900083542,0.24593313038349152,0.09114919602870941,0.0,watch
1780303537.377662,critical_high_suspicious,1.5715656280517578,1.0,0.0,0.0,0.019551387056708336,0.0,0.0,watch
1780303537.4436715,critical_high_suspicious,1.368124008178711,0.5764745473861694,0.0,0.0,0.1199164018034935,0.0,0.0,observing
1780303537.5766866,critical_high_suspicious,1.458006501197815,1.0,0.0,0.15000000596046448,0.1688404083251953,0.0,0.0,watch
1780303537.6436882,critical_high_suspicious,1.0094276666641235,1.0,0.0,0.15000000596046448,0.015182416886091232,0.0,0.0,watch
1780303537.7777572,critical_high_suspicious,1.676437497138977,1.0,0.0,0.0,0.7684088945388794,0.44737234711647034,0.0,watch
1780303537.843852,critical_high_suspicious,1.9375495910644531,1.0,0.0,0.0,0.26374325156211853,0.2663772702217102,0.0,observing
1780303537.977704,critical_high_suspicious,1.5815757513046265,1.0,0.0,0.0,0.23668329417705536,0.0,0.0,watch
1780303538.0446885,critical_high_suspicious,1.3391262292861938,1.0,0.0,0.0,0.0,0.06405752897262573,0.0,watch
1780303538.1776283,critical_high_suspicious,1.5442436933517456,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303538.244073,critical_high_suspicious,1.5150777101516724,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303538.3767204,critical_high_suspicious,1.427187442779541,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303538.4442904,critical_high_suspicious,1.3950035572052002,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303538.511771,critical_high_suspicious,1.3685109615325928,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303538.6433184,critical_high_suspicious,1.6029928922653198,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303538.710913,critical_high_suspicious,1.9191699028015137,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303538.844231,critical_high_suspicious,2.4270384311676025,0.9244542717933655,0.0,0.0,0.0,0.0,0.0,observing
1780303538.9806664,critical_high_suspicious,2.805673360824585,0.38440918922424316,0.0,0.0,0.0,0.0,0.0,observing
1780303539.0432837,critical_high_suspicious,2.9827191829681396,0.23763422667980194,0.0,0.0,0.0,0.0,0.0,observing
1780303539.1785977,critical_high_suspicious,3.458911657333374,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.2441337,critical_high_suspicious,3.5150701999664307,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.3108714,critical_high_suspicious,3.4403836727142334,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.443948,critical_high_suspicious,3.573371648788452,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.5765405,critical_high_suspicious,3.6190505027770996,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.6435637,critical_high_suspicious,3.6948399543762207,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.7770374,critical_high_suspicious,3.7522335052490234,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.8475573,critical_high_suspicious,3.7700376510620117,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303539.9779775,critical_high_suspicious,3.9139609336853027,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.04657,critical_high_suspicious,3.8705527782440186,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.176987,critical_high_suspicious,3.811387300491333,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.2432897,critical_high_suspicious,3.857430934906006,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.3811874,critical_high_suspicious,3.9957194328308105,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.443636,critical_high_suspicious,4.026904582977295,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.5775054,critical_high_suspicious,3.937535047531128,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.6432717,critical_high_suspicious,3.8364956378936768,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.7769363,critical_high_suspicious,3.489542245864868,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.8434913,critical_high_suspicious,3.3035128116607666,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303540.976845,critical_high_suspicious,2.9492788314819336,0.29932454228401184,0.0,0.0,0.0,0.0,0.0,observing
1780303541.043283,critical_high_suspicious,2.771193265914917,0.5577033162117004,0.0,0.0,0.0,0.0,0.0,observing
1780303541.1766205,critical_high_suspicious,2.6323628425598145,0.7681798338890076,0.0,0.0,0.0,0.0,0.0,observing
1780303541.243525,critical_high_suspicious,2.529920816421509,0.8502287864685059,0.0,0.0,0.0,0.0,0.0,observing
1780303541.3768606,critical_high_suspicious,1.9157320261001587,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303541.4438057,critical_high_suspicious,1.6591979265213013,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303541.576992,critical_high_suspicious,1.3778865337371826,1.0,0.0,0.0,0.0031859050504863262,0.0,0.0,watch
1780303541.6437786,critical_high_suspicious,1.2657992839813232,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303541.7769032,critical_high_suspicious,1.1948829889297485,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303541.8431656,critical_high_suspicious,0.8297855257987976,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303541.9792838,critical_high_suspicious,0.8313373923301697,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303542.0447035,critical_high_suspicious,0.8345771431922913,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303542.1771095,critical_high_suspicious,0.9336513876914978,1.0,0.0,0.0,0.042588572949171066,0.0,0.0,watch
1780303542.24332,critical_high_suspicious,0.9524282217025757,1.0,0.0,0.0,0.025924907997250557,0.0,0.0,watch
1780303542.3773203,critical_high_suspicious,1.0262616872787476,1.0,0.0,0.0,0.12337778508663177,0.0,0.0,watch
1780303542.4437675,critical_high_suspicious,1.0275684595108032,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303542.5770376,critical_high_suspicious,0.9448367953300476,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303542.6433692,critical_high_suspicious,0.970449686050415,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303542.7770855,critical_high_suspicious,0.9363564252853394,1.0,0.04009021818637848,0.0,0.2307775765657425,0.0,0.0,watch
1780303542.910609,critical_high_suspicious,1.1978507041931152,1.0,0.32249295711517334,0.0,1.0,0.3870287239551544,0.0,watch
1780303542.9770877,critical_high_suspicious,1.0230696201324463,1.0,0.45040711760520935,0.0,0.03413136303424835,0.7088879346847534,0.0,warning
1780303543.377033,critical_high_suspicious,1.817192554473877,1.0,0.27997732162475586,0.0,0.43035781383514404,0.1855783313512802,0.0,watch
1780303543.5765564,critical_high_suspicious,1.7616560459136963,1.0,0.15000000596046448,0.0,0.08040191978216171,0.10088613629341125,0.0,watch
1780303543.6444187,critical_high_suspicious,1.2290664911270142,1.0,0.05517974868416786,0.0,0.3549081087112427,0.10785598307847977,0.0,watch
1780303543.7768137,critical_high_suspicious,1.1749496459960938,1.0,0.0,0.0,0.0,0.22149720788002014,0.0,watch
1780303543.8431985,critical_high_suspicious,1.573763370513916,1.0,0.0,0.11226795613765717,0.26469674706459045,0.16328833997249603,0.0,watch
1780303543.9772203,critical_high_suspicious,1.2060908079147339,1.0,0.0,0.0,0.09434560686349869,0.1029868945479393,0.0,watch
1780303544.0435624,critical_high_suspicious,1.2876805067062378,1.0,0.0,0.0,0.1280268430709839,0.0,0.0,watch
1780303544.1773803,critical_high_suspicious,1.9187273979187012,1.0,0.0,0.0,0.0,0.0478595495223999,0.0,observing
1780303544.2432938,critical_high_suspicious,2.0158610343933105,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303544.3103511,critical_high_suspicious,1.912656307220459,1.0,0.0,0.0,0.8096082806587219,0.549692690372467,0.0,watch
1780303544.5771046,critical_high_suspicious,1.5346119403839111,1.0,0.0,0.15000000596046448,0.34402668476104736,0.032911449670791626,0.0,watch
1780303544.6431878,critical_high_suspicious,1.3799923658370972,0.643162727355957,0.0,0.0,0.39765554666519165,0.0,0.0,watch
1780303544.776617,critical_high_suspicious,1.4072492122650146,1.0,0.0,0.15000000596046448,0.562680184841156,0.0,0.0,watch
1780303544.8435879,critical_high_suspicious,1.561898946762085,1.0,0.0,0.0,0.0,0.3951129615306854,0.0,watch
1780303544.9771967,critical_high_suspicious,1.829396367073059,1.0,0.0,0.0,0.11787788569927216,0.003161699278280139,0.0,observing
1780303545.0432289,critical_high_suspicious,1.6438841819763184,1.0,0.0,0.0,0.3600734770298004,0.07983696460723877,0.0,watch
1780303545.1765563,critical_high_suspicious,1.9060014486312866,1.0,0.0,0.0,0.19800256192684174,0.016513127833604813,0.0,observing
1780303545.2435908,critical_high_suspicious,2.029459238052368,1.0,0.0,0.0,0.13351218402385712,0.0,0.0,observing
1780303545.3099809,critical_high_suspicious,2.074406623840332,1.0,0.0,0.0,0.06956246495246887,0.0,0.0,observing
1780303545.4433053,critical_high_suspicious,1.7039053440093994,1.0,0.0,0.0,0.3646993637084961,0.09865870326757431,0.0,watch
1780303545.5103197,critical_high_suspicious,1.4583572149276733,1.0,0.0,0.0,0.15888699889183044,0.0360451266169548,0.0,watch
1780303545.6451087,critical_high_suspicious,1.6589155197143555,1.0,0.0,0.0,0.07355513423681259,0.0,0.0,watch
1780303545.712527,critical_high_suspicious,1.4760602712631226,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303546.1143787,critical_high_suspicious,1.9910379648208618,0.9672060608863831,0.0,0.0,0.0,0.0,0.0,observing
1780303546.37661,critical_high_suspicious,2.9035873413085938,1.0,0.0,0.0,0.11088261753320694,0.0,0.0,observing
1780303546.7765584,critical_high_suspicious,4.805036544799805,0.0,0.0,0.0,0.3560309410095215,0.05708203837275505,0.0,observing
1780303546.8440719,critical_high_suspicious,4.543498516082764,0.0,0.0,0.0,0.0,0.17746660113334656,0.0,observing
1780303546.909896,critical_high_suspicious,4.352993965148926,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303546.9769201,critical_high_suspicious,4.585785865783691,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.1101487,critical_high_suspicious,4.406513690948486,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.1768353,critical_high_suspicious,4.611257553100586,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.3098583,critical_high_suspicious,4.423670768737793,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.3768766,critical_high_suspicious,4.4436540603637695,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.444417,critical_high_suspicious,4.341067790985107,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.576763,critical_high_suspicious,4.4398040771484375,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.643527,critical_high_suspicious,4.4864583015441895,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.7775865,critical_high_suspicious,4.541481018066406,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.843255,critical_high_suspicious,4.642112731933594,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303547.9770901,critical_high_suspicious,4.652045249938965,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.0436304,critical_high_suspicious,4.639494895935059,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.1768944,critical_high_suspicious,4.676738739013672,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.2432334,critical_high_suspicious,4.6204657554626465,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.376506,critical_high_suspicious,4.533720016479492,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.443628,critical_high_suspicious,4.488969326019287,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.5785172,critical_high_suspicious,4.334877967834473,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.6438215,critical_high_suspicious,4.1556077003479,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.7767017,critical_high_suspicious,3.903224229812622,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.843737,critical_high_suspicious,3.533484697341919,0.0,0.0,0.0,0.0,0.0,0.0,observing
1780303548.9782739,critical_high_suspicious,3.1502480506896973,0.5129050612449646,0.0,0.0,0.0,0.0,0.0,observing
1780303549.043374,critical_high_suspicious,2.9789600372314453,0.7316210865974426,0.0,0.0,0.0,0.0,0.0,observing
1780303549.184001,critical_high_suspicious,2.489128828048706,0.8638416528701782,0.0,0.0,0.09982525557279587,0.03600892052054405,0.0,observing
1780303549.2436514,critical_high_suspicious,2.3997974395751953,0.8439344763755798,0.0,0.0,0.0,0.05665796622633934,0.0,observing
1780303549.3780653,critical_high_suspicious,2.226499080657959,0.8123125433921814,0.0,0.0,0.0,0.0,0.0,observing
1780303549.4438202,critical_high_suspicious,2.0181684494018555,0.7769237756729126,0.0,0.0,0.0,0.0,0.0,observing
1780303549.576723,critical_high_suspicious,1.7833696603775024,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303549.6442008,critical_high_suspicious,1.7932566404342651,1.0,0.0,0.0,0.0,0.0,0.0,observing
1780303549.776846,critical_high_suspicious,1.5752804279327393,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303549.8431776,critical_high_suspicious,1.3287184238433838,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303549.9766738,critical_high_suspicious,1.0470623970031738,1.0,0.0,0.0,0.025652479380369186,0.0,0.0,watch
1780303550.043919,critical_high_suspicious,1.069445252418518,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303550.1770146,critical_high_suspicious,1.0129072666168213,1.0,0.0,0.0,0.020595869049429893,0.0,0.0,watch
1780303550.243268,critical_high_suspicious,1.0895862579345703,1.0,0.0,0.0,0.0,0.0,0.0,watch
1780303550.3765259,critical_high_suspicious,1.0487112998962402,1.0,0.06570447236299515,0.0,0.06753087043762207,0.0035801632329821587,0.0,watch
1780303550.446931,critical_high_suspicious,0.9828267693519592,1.0,0.15000000596046448,0.0,0.09831727296113968,0.0,0.0,watch
1780303550.576882,critical_high_suspicious,1.1453675031661987,1.0,0.4394720494747162,0.030326450243592262,0.5305880904197693,0.19330501556396484,0.0,watch
1780303550.7765758,critical_high_suspicious,0.9501919150352478,1.0,1.0,0.0,1.0,0.274567574262619,0.0,high_alert
1780303551.4467936,critical_high_suspicious,1.8696345090866089,0.5076179504394531,0.9299208521842957,0.0,0.3597145974636078,0.4876345694065094,0.0,watch
